v8-version,6,2,414,54,0
shared-library,"C:\Program Files\nodejs\node.exe",0x7ff79e640000,0x7ff79fc10000,0
shared-library,"C:\WINDOWS\SYSTEM32\ntdll.dll",0x7ffd5f980000,0x7ffd5fb6d000,0
shared-library,"C:\WINDOWS\System32\KERNEL32.DLL",0x7ffd5e560000,0x7ffd5e613000,0
shared-library,"C:\WINDOWS\System32\KERNELBASE.dll",0x7ffd5bb10000,0x7ffd5bda3000,0
shared-library,"C:\WINDOWS\System32\WS2_32.dll",0x7ffd5e940000,0x7ffd5e9ad000,0
shared-library,"C:\WINDOWS\System32\RPCRT4.dll",0x7ffd5cbc0000,0x7ffd5cce2000,0
shared-library,"C:\WINDOWS\SYSTEM32\dbghelp.dll",0x7ffd561d0000,0x7ffd563bd000,0
shared-library,"C:\WINDOWS\System32\ucrtbase.dll",0x7ffd5beb0000,0x7ffd5bfaa000,0
shared-library,"C:\WINDOWS\System32\ADVAPI32.dll",0x7ffd5f0c0000,0x7ffd5f163000,0
shared-library,"C:\WINDOWS\System32\msvcrt.dll",0x7ffd5f2f0000,0x7ffd5f38e000,0
shared-library,"C:\WINDOWS\System32\sechost.dll",0x7ffd5e680000,0x7ffd5e71e000,0
shared-library,"C:\WINDOWS\SYSTEM32\WINMM.dll",0x7ffd569f0000,0x7ffd56a14000,0
shared-library,"C:\WINDOWS\System32\USER32.dll",0x7ffd5e9c0000,0x7ffd5eb57000,0
shared-library,"C:\WINDOWS\System32\win32u.dll",0x7ffd5ba80000,0x7ffd5baa0000,0
shared-library,"C:\WINDOWS\SYSTEM32\WINMMBASE.dll",0x7ffd569c0000,0x7ffd569ed000,0
shared-library,"C:\WINDOWS\System32\GDI32.dll",0x7ffd5eb60000,0x7ffd5eb89000,0
shared-library,"C:\WINDOWS\System32\cfgmgr32.dll",0x7ffd5bac0000,0x7ffd5bb0a000,0
shared-library,"C:\WINDOWS\System32\gdi32full.dll",0x7ffd5c190000,0x7ffd5c32a000,0
shared-library,"C:\WINDOWS\System32\msvcp_win.dll",0x7ffd5bdb0000,0x7ffd5be50000,0
shared-library,"C:\WINDOWS\System32\PSAPI.DLL",0x7ffd5cbb0000,0x7ffd5cbb8000,0
shared-library,"C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL",0x7ffd5af60000,0x7ffd5af9d000,0
shared-library,"C:\WINDOWS\SYSTEM32\USERENV.dll",0x7ffd5b880000,0x7ffd5b8a8000,0
shared-library,"C:\WINDOWS\System32\profapi.dll",0x7ffd5ba20000,0x7ffd5ba44000,0
shared-library,"C:\WINDOWS\System32\IMM32.DLL",0x7ffd5f820000,0x7ffd5f84e000,0
shared-library,"F:\cmder\vendor\conemu-maximus5\ConEmu\ConEmuHk64.dll",0x7e1100000000,0x7e110006e000,0
shared-library,"C:\WINDOWS\System32\powrprof.dll",0x7ffd5b980000,0x7ffd5b9dd000,0
shared-library,"C:\WINDOWS\system32\mswsock.dll",0x7ffd5b200000,0x7ffd5b267000,0
shared-library,"C:\WINDOWS\System32\kernel.appcore.dll",0x7ffd5b9e0000,0x7ffd5b9f1000,0
profiler,"begin",1000
tick,0x7ff79e7287b2,149000,0,0x0,4
tick,0x7ffd5fa1fc64,164000,0,0x0,4
tick,0x7ffd5fa8a646,184000,0,0x0,4
tick,0x7ff79e920b0c,205000,0,0x0,4
tick,0x7ffd5fa1fca4,225000,0,0x0,4
code-creation,Stub,3,234000,0x25868684060,402,"JSEntryStub"
code-creation,Builtin,5,234000,0x25868684260,129,"JSEntryTrampoline"
code-creation,Stub,3,234000,0x25868684360,292,"CEntryStub"
code-creation,Builtin,5,234000,0x25868684500,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,234000,0x258686845e0,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,234000,0x25868684780,351,"ToObject"
code-creation,Stub,3,234000,0x25868684940,2092,"RecordWriteStub"
code-creation,Stub,3,234000,0x258686851e0,294,"StoreBufferOverflowStub"
code-creation,Builtin,5,234000,0x25868685380,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,234000,0x258686854e0,139,"CallBoundFunction"
code-creation,Builtin,5,234000,0x258686855e0,548,"CallProxy"
code-creation,Stub,3,234000,0x25868685880,1693,"GetPropertyStub"
code-creation,Builtin,5,234000,0x25868685f80,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,234000,0x25868686100,402,"JSEntryStub"
code-creation,Builtin,5,234000,0x25868686300,129,"JSConstructEntryTrampoline"
code-creation,Builtin,5,234000,0x25868686400,77,"Construct"
code-creation,Builtin,5,234000,0x258686864c0,18,"ConstructFunction"
code-creation,Builtin,5,234000,0x25868686540,139,"ConstructBoundFunction"
code-creation,Builtin,5,234000,0x25868686640,624,"ConstructProxy"
code-creation,Builtin,5,234000,0x25868686920,43,"ConstructedNonConstructable"
code-creation,Builtin,5,234000,0x258686869c0,15,"EmptyFunction"
code-creation,Builtin,5,234000,0x25868686a40,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,234000,0x25868686ac0,292,"CEntryStub"
code-creation,Builtin,5,245000,0x25868686c60,615,"CompileLazy"
code-creation,Stub,3,245000,0x25868686f40,450,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868687180,1212,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686876a0,74,"StoreBufferOverflowStub"
code-creation,Stub,3,245000,0x25868687760,1228,"RecordWriteStub"
code-creation,Builtin,5,245000,0x25868687ca0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,245000,0x25868687e20,925,"FastNewObject"
code-creation,Stub,3,245000,0x25868688220,2137,"RecordWriteStub"
code-creation,Handler,4,245000,0x25868688ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x25868688c00,87,"DoubleToIStub"
code-creation,Stub,3,245000,0x25868688cc0,93,"DoubleToIStub"
code-creation,Stub,3,245000,0x25868688d80,471,"CEntryStub"
code-creation,Stub,3,245000,0x25868688fc0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868689860,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868a100,2080,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868a980,2127,"RecordWriteStub"
tick,0x7ffd5fa1f864,245000,0,0x0,4
code-creation,Stub,3,245000,0x2586868b240,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868bae0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868c380,1688,"StringAddStub"
code-creation,Stub,3,245000,0x2586868ca80,894,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868ce60,2142,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868d720,2111,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868dfc0,886,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868e3a0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868ec40,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868f4e0,2122,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868fda0,1258,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868690300,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x25868690440,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868690ce0,2095,"RecordWriteStub"
